Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
48;21100901150;"Data Science and Engineering";journal;"23641541, 23641185";"Springer International Publishing";Yes;Yes;1,273;Q1;32;33;86;1640;537;83;5,86;49,70;40,91;0;5;Switzerland;Western Europe;"Springer International Publishing";"2016-2025";"Artificial Intelligence (Q1); Computational Mechanics (Q1); Computer Science Applications (Q1); Information Systems (Q1); Software (Q1)";"Computer Science; Engineering"
49;21100338351;"IEEE Transactions on Cloud Computing";journal;"21687161";"Institute of Electrical and Electronics Engineers Inc.";No;No;1,254;Q1;72;124;603;5610;3527;600;5,95;45,24;27,27;0;7;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2013-2025";"Computer Networks and Communications (Q1); Computer Science Applications (Q1); Hardware and Architecture (Q1); Information Systems (Q1); Software (Q1)";"Computer Science"
50;21100784665;"IEEE Transactions on Cognitive and Developmental Systems";journal;"23798920, 23798939";"Institute of Electrical and Electronics Engineers Inc.";No;No;1,249;Q1;62;227;435;11677;2589;426;5,48;51,44;28,01;0;22;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2016-2025";"Artificial Intelligence (Q1); Software (Q1)";"Computer Science"
51;18120;"ACM Transactions on Mathematical Software";journal;"15577295, 00983500";"Association for Computing Machinery (ACM)";No;No;1,234;Q1;97;29;126;1164;456;126;3,38;40,14;16,87;0;0;United States;Northern America;"Association for Computing Machinery (ACM)";"1975-2024";"Applied Mathematics (Q1); Software (Q1)";"Computer Science; Mathematics"
52;12398;"Journal of Systems Architecture";journal;"13837621";"Elsevier B.V.";No;No;1,220;Q1;72;180;590;9826;3442;577;5,12;54,59;26,47;0;30;Netherlands;Western Europe;"Elsevier B.V.";"1996-2025";"Hardware and Architecture (Q1); Software (Q1)";"Computer Science"
53;26799;"Ad Hoc Networks";journal;"15708705";"Elsevier B.V.";No;No;1,210;Q1;115;238;488;11550;3430;482;6,74;48,53;27,13;0;69;Netherlands;Western Europe;"Elsevier B.V.";"2003-2025";"Computer Networks and Communications (Q1); Hardware and Architecture (Q1); Software (Q1)";"Computer Science"
54;144702;"Virtual Reality";journal;"13594338";"Springer London";Yes;No;1,198;Q1;73;170;417;11155;3142;416;6,51;65,62;34,45;0;26;United Kingdom;Western Europe;"Springer London";"1995, 1998-2000, 2002, 2004-2025";"Computer Graphics and Computer-Aided Design (Q1); Human-Computer Interaction (Q1); Software (Q1)";"Computer Science"
55;18079;"Robotics and Autonomous Systems";journal;"09218890";"Elsevier B.V.";No;No;1,168;Q1;148;187;485;9617;3305;482;6,87;51,43;19,95;0;41;Netherlands;Western Europe;"Elsevier B.V.";"1988-2025";"Computer Science Applications (Q1); Control and Systems Engineering (Q1); Mathematics (miscellaneous) (Q1); Software (Q1)";"Computer Science; Engineering; Mathematics"
56;25033;"IEEE Transactions on Computers";journal;"00189340";"IEEE Computer Society";No;No;1,156;Q1;145;257;709;10038;3256;702;4,42;39,06;26,05;0;23;United States;Northern America;"IEEE Computer Society";"1968-2025";"Computational Theory and Mathematics (Q1); Hardware and Architecture (Q1); Software (Q1); Theoretical Computer Science (Q1)";"Computer Science; Mathematics"
57;24775;"Machine Learning";journal;"15730565, 08856125";"Springer Netherlands";No;No;1,147;Q1;175;287;411;15391;2565;408;4,19;53,63;23,46;0;16;Netherlands;Western Europe;"Springer Netherlands";"1986-2025";"Artificial Intelligence (Q1); Software (Q1)";"Computer Science"
58;24303;"Computer Standards and Interfaces";journal;"09205489";"Elsevier B.V.";No;No;1,142;Q1;80;82;161;4085;1094;161;7,17;49,82;25,62;0;10;Netherlands;Western Europe;"Elsevier B.V.";"1986-2025";"Computer Science Applications (Q1); Hardware and Architecture (Q1); Law (Q1); Software (Q1)";"Computer Science; Social Sciences"
59;24305;"International Journal of Intelligent Systems";journal;"1098111X, 08848173";"John Wiley and Sons Inc";No;No;1,141;Q1;117;94;950;4974;5598;948;5,36;52,91;31,69;0;24;United Kingdom;Western Europe;"John Wiley and Sons Inc";"1986-2024";"Artificial Intelligence (Q1); Human-Computer Interaction (Q1); Software (Q1); Theoretical Computer Science (Q1)";"Computer Science; Mathematics"
60;23604;"Computer Methods and Programs in Biomedicine";journal;"01692607, 18727565";"Elsevier Ireland Ltd";No;No;1,130;Q1;150;484;1648;24147;10702;1641;6,09;49,89;32,50;1;158;Ireland;Western Europe;"Elsevier Ireland Ltd";"1985-2025";"Computer Science Applications (Q1); Health Informatics (Q1); Software (Q1)";"Computer Science; Medicine"
61;18089;"Advances in Engineering Software";journal;"18735339, 09659978";"Elsevier Ltd";No;No;1,124;Q1;107;141;351;7650;2554;350;7,58;54,26;21,11;0;23;United Kingdom;Western Europe;"Elsevier Ltd";"1982-1983, 1992-2025";"Engineering (miscellaneous) (Q1); Software (Q1)";"Computer Science; Engineering"
62;21101039775;"Machine Learning: Science and Technology";journal;"26322153";"Institute of Physics Publishing";Yes;No;1,119;Q1;41;319;412;18453;2483;412;4,97;57,85;21,48;2;23;United Kingdom;Western Europe;"Institute of Physics Publishing";"2020-2025";"Artificial Intelligence (Q1); Human-Computer Interaction (Q1); Software (Q1)";"Computer Science"
63;19700187627;"International Journal of Digital Earth";journal;"17538955, 17538947";"Taylor and Francis Ltd.";Yes;No;1,111;Q1;69;345;439;20101;2468;433;5,56;58,26;35,62;2;157;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2008-2025";"Computer Science Applications (Q1); Earth and Planetary Sciences (miscellaneous) (Q1); Software (Q1)";"Computer Science; Earth and Planetary Sciences"
64;18186;"Engineering with Computers";journal;"14355663, 01770667";"Springer London";No;No;1,110;Q1;93;253;974;14399;6774;968;6,81;56,91;19,31;0;22;United Kingdom;Western Europe;"Springer London";"1985-2025";"Computer Science Applications (Q1); Engineering (miscellaneous) (Q1); Modeling and Simulation (Q1); Software (Q1)";"Computer Science; Engineering; Mathematics"
65;24800;"Neural Computing and Applications";journal;"09410643, 14333058";"Springer London";No;No;1,102;Q1;146;1375;3832;72689;26087;3781;6,52;52,86;28,05;1;315;United Kingdom;Western Europe;"Springer London";"1993-2025";"Artificial Intelligence (Q1); Software (Q1)";"Computer Science"
