Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Best Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
48;21101176787;"Proceedings - AAAI Artificial Intelligence and Interactive Digital Entertainment Conference, AIIDE";conference and proceedings;"23340924, 2326909X";"Association for the Advancement of Artificial Intelligence";No;No;0,510;-;17;32;91;991;204;87;2,24;30,97;29,63;0;0;United States;Northern America;"Association for the Advancement of Artificial Intelligence";"2016-2017, 2022-2024";"Artificial Intelligence; Computer Graphics and Computer-Aided Design; Computer Science Applications; Human-Computer Interaction; Software";"Computer Science"
49;21100197357;"IEEE-RAS International Conference on Humanoid Robots";conference and proceedings;"21640580, 21640572";"IEEE Computer Society";No;No;0,506;-;58;123;284;3536;556;280;1,71;28,75;15,76;0;11;United States;Northern America;"IEEE Computer Society";"2011-2012, 2014-2019, 2021-2024";"Artificial Intelligence; Computer Vision and Pattern Recognition; Electrical and Electronic Engineering; Hardware and Architecture; Human-Computer Interaction";"Computer Science; Engineering"
50;21101131211;"Proceedings - IEEE International Conference on Edge Computing";conference and proceedings;"27679918, 2767990X";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,499;-;8;26;107;696;193;87;1,57;26,77;21,74;0;2;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2021-2024";"Artificial Intelligence; Computer Networks and Communications; Hardware and Architecture";"Computer Science"
51;19277;"Proceedings of the IEEE International Conference on Requirements Engineering";conference and proceedings;"23326441, 1090705X";"IEEE Computer Society";No;No;0,491;-;63;60;298;2126;645;279;2,01;35,43;36,51;0;9;United States;Northern America;"IEEE Computer Society";"1993, 1995-2006, 2009, 2019-2024";"Computer Science (miscellaneous); Engineering (miscellaneous); Hardware and Architecture; Industrial and Manufacturing Engineering; Software; Strategy and Management";"Business, Management and Accounting; Computer Science; Engineering"
52;26125;"Parallel Architectures and Compilation Techniques - Conference Proceedings, PACT";conference and proceedings;"1089795X";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,477;-;76;31;113;1802;220;108;1,35;58,13;13,91;0;1;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1996-2014, 2016-2024";"Hardware and Architecture; Software; Theoretical Computer Science";"Computer Science; Mathematics"
53;19700182801;"Procedia Computer Science";conference and proceedings;"18770509";"Elsevier B.V.";No;No;0,471;-;152;3310;6494;78029;19759;6394;2,66;23,57;34,62;2;1162;Netherlands;Western Europe;"Elsevier B.V.";"2010-2024";"Computer Science (miscellaneous)";"Computer Science"
54;21101235561;"Proceedings of the Annual International Conference on Mobile Computing and Networking, MOBICOM";conference and proceedings;"15435679";"Association for Computing Machinery";No;No;0,460;-;149;0;152;0;435;151;2,86;0,00;0,00;0;0;United States;Northern America;"Association for Computing Machinery";"1995-1997, 2000-2015, 2023";"Computer Networks and Communications; Hardware and Architecture; Software";"Computer Science"
55;20300195058;"Proceedings - IEEE International Conference on Multimedia and Expo";conference and proceedings;"1945788X, 19457871";"IEEE Computer Society";No;No;0,451;-;71;663;1255;16722;3073;1249;2,28;25,22;31,56;0;28;United States;Northern America;"IEEE Computer Society";"2001, 2003, 2011-2024";"Computer Networks and Communications; Computer Science Applications";"Computer Science"
56;21100199538;"International Symposium on Empirical Software Engineering and Measurement";conference and proceedings;"19493770, 19493789";"IEEE Computer Society";No;No;0,445;-;48;68;112;2931;278;106;2,10;43,10;30,21;0;3;United States;Northern America;"IEEE Computer Society";"2011-2024";"Computer Science Applications; Software";"Computer Science"
57;32211;"Proceedings of the International Conference on Application-Specific Systems, Architectures and Processors";conference and proceedings;"2160052X, 21600511";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,444;-;39;51;99;808;199;92;1,76;15,84;18,29;0;13;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1993-1997, 2000, 2002-2024";"Computer Networks and Communications; Computer Science (miscellaneous); Hardware and Architecture";"Computer Science"
